Name,RPG,OPP RPG,REB MAR
FIU,35,32.1,2.9
East Carolina,38.1,35.3,2.8
Kansas St.,37.1,34.3,2.8
Illinois,35.1,32.3,2.8
Penn,33.5,30.8,2.7
Virginia,38,35.3,2.7
Oakland,36.5,33.8,2.7
Central Mich.,33.8,31.2,2.7
Maryland,40.5,37.9,2.6
Oral Roberts,37.8,35.3,2.5
Ohio St.,34.6,32.1,2.5
Nevada,38.2,35.7,2.5
Elon,33.8,31.3,2.4
LSU,35.1,32.7,2.4
Michigan,34.6,32.3,2.3
Alabama St.,36,33.7,2.3
Western Mich.,34.9,32.7,2.2
Clemson,35.9,33.7,2.2
Ga. Southern,37.3,35.1,2.1
Auburn,35.1,33,2.1
Wagner,34.4,32.3,2.1
Harvard,38,36,2.1
Sam Houston St.,37,35,2.1
Morehead St.,33.6,31.5,2.1
Cal St. Northridge,35.2,33.2,2
Duke,36.9,34.8,2
Georgetown,39.6,37.6,2
Troy,40.4,38.4,2
Boston U.,35.4,33.5,1.9
St. Mary's (CA),33.9,32,1.9
Louisville,38.3,36.5,1.8
Hampton,36.1,34.3,1.8
Austin Peay,35.2,33.4,1.8
Lamar,37.3,35.6,1.7
South Carolina St.,37.2,35.5,1.7
Weber St.,33.4,31.7,1.7
Lehigh,34.9,33.2,1.7
McNeese St.,35.9,34.2,1.7
Miami (FL),36.3,34.7,1.6
Creighton,34.1,32.4,1.6
Hawaii,34,32.3,1.6
Winthrop,37.1,35.5,1.6
Southern Miss.,37.8,36.2,1.6
Seton Hall,36.1,34.6,1.6
Tulsa,37,35.5,1.5
Belmont,34.5,33,1.5
Drake,31.9,30.4,1.5
California,35.6,34.2,1.4
Florida,35.1,33.7,1.4
Bucknell,32.1,30.8,1.3
Cal St. Fullerton,31.4,30.1,1.3
Houston,37.6,36.4,1.3
Virginia Tech,36.8,35.6,1.2
William & Mary,35.5,34.3,1.2
Rhode Island,38.4,37.2,1.2
La.-Lafayette,36.3,35.2,1.2
Denver,36.9,35.8,1.1
Idaho,34.6,33.6,1.1
Charlotte,37.9,36.9,1
St. John's (NY),37.8,36.8,1
Youngstown St.,35,34,1
Rice,34.9,33.9,1
UMBC,35,34,1
Northern Ariz.,36,35,0.9
La.-Monroe,37.6,36.7,0.9
Louisiana Tech,36.6,35.7,0.9
Eastern Mich.,37.4,36.6,0.8
Oklahoma St.,36.8,36,0.8
Eastern Wash.,32.7,31.9,0.8
Georgia,37.4,36.7,0.7
New Mexico St.,35.9,35.2,0.7
Loyola (IL),38.4,37.7,0.7
SMU,37.1,36.4,0.7
Mississippi,31.1,30.4,0.7
Yale,33.7,33.1,0.6
Appalachian St.,39.2,38.6,0.6
TCU,38.3,37.7,0.6
Minnesota,37.9,37.4,0.6
Indiana,36.8,36.3,0.6
IUPUI,32.9,32.3,0.5
Evansville,31.9,31.4,0.5
Southern California,38.6,38.1,0.5
Buffalo,36.2,35.7,0.5
Navy,33.4,32.9,0.5
VCU,38.1,37.7,0.4
UCLA,36.6,36.2,0.4
A&M-Corpus Christi,36.3,35.9,0.4
Tex.-Pan American,36.5,36.1,0.4
Milwaukee,34.3,34,0.3
Cincinnati,35.5,35.3,0.3
Texas St.,34.4,34.2,0.3
Northeastern,36.5,36.3,0.2
Stony Brook,33.5,33.4,0.1
Oregon St.,36.5,36.4,0.1
Tulane,35.2,35.1,0.1
Portland St.,32.3,32.3,0
Iona,35.4,35.4,0
Alcorn St.,36.3,36.3,0
UTEP,34.2,34.2,0
Liberty,35.8,35.8,-0.1
Norfolk St.,34.5,34.6,-0.1
Chicago St.,32.6,32.7,-0.1
St. Joseph's,35.3,35.4,-0.1
High Point,33.4,33.6,-0.1
North Carolina St.,31.8,32,-0.2
Toledo,32.4,32.7,-0.2
